Episode,Character,Line
Fry Am the Egg Man,Angus McZongo," The last time I hesitated, a bone vampire snicked out me left shin."
Fry Am the Egg Man,Leela, Please! Just a few days.
Fry Am the Egg Man,Angus McZongo," Well, 'twould give us a chance to get to know each other. The beast lives! For now."
Fry Am the Egg Man,Leela," Thank you, Angus."
Fry Am the Egg Man,Men, [in unison] You're welcome!
Fry Am the Egg Man,Fry, I don't trust that McZongo. Maybe I should go keep an eye on Mr. Peppy.
Fry Am the Egg Man,Leela, Don't worry about McZongo. He an' I are having brunch tomorrow. I'm thinking of wearing this.
Fry Am the Egg Man,Fry, It's nice! But there's still somethin' I don't like about that guy. My dad always said you could tell a lot about a man by the rigidity of 'is shins.
Fry Am the Egg Man,Zoidberg, What is?!
Fry Am the Egg Man,Man #1," UNKNOWN, Gryffindor, Slytherin an' Hufflepuff! It killed Little Angus!"
Fry Am the Egg Man,Farnsworth, They're all dead! And their bones are gone! This was no accident.
Fry Am the Egg Man,Angus McZongo," Still think your Mr. Peppy is harmless, Fry?"
Fry Am the Egg Man,Fry," He wouldn't do this in our sleep. He would not, could not to a sheep."
Fry Am the Egg Man,Angus McZongo, The deal is off! The beast must die!
Fry Am the Egg Man,Bender, Ooh! Pimpy!
Fry Am the Egg Man,Fry, What are we supposed to do? Just sit here and wait for Mr. Peppy to be killed?
Fry Am the Egg Man,Bender, Sounds like a plan! Guess I'll pass the time by lightin' up an El Jerko!
Fry Am the Egg Man,Leela, Okay! That's it! I need some air.
Fry Am the Egg Man,Leela," Who's there? Hermes, is this one o' your zany practical jokes?"
Fry Am the Egg Man,Fry," Leela, are you okay? Did you drink too many aquaria?"
Fry Am the Egg Man,Hermes, Look! The bone vampire!
Fry Am the Egg Man,Leela, Mr. Peppy attacked me. Quick! Count my bones. There should be two-hundred-and-five!
Fry Am the Egg Man,Leela, Okay. That's better. Keep 'em comin'!
Fry Am the Egg Man,Farnsworth," I'm sorry, Fry, but no vegetarian could've done this."
Fry Am the Egg Man,Fry," I know. An', as much as I love Mr. Peppy, I love Leela more. He has to be... Put down."
Fry Am the Egg Man,Amy," Aw, don't feel bad. Major McZongo's an experienced hunter. He'll blow Mr. Peppy's head off as painlessly as possible."
Fry Am the Egg Man,Fry," No! Not McZongo! If anyone's gonna kill Mr. Peppy, it should be me."
Fry Am the Egg Man,Zoidberg," Fry, I know you're upset right now, but I hope you'll consider donating the body to science dinner."
Fry Am the Egg Man,Fry," Here, Mr. Peppy. Mmm. Lovely bones."
Fry Am the Egg Man,Hermes, We've been walkin' for hours. I hope we can find our way back.
Fry Am the Egg Man,Amy, Don't worry. I left a trail of bread crumbs.
Fry Am the Egg Man,Bender, An' I left a trail of cigars!
Fry Am the Egg Man,Leela," You don't have to do this, Fry. Mr. Peppy just gave me a little love concussion."
Fry Am the Egg Man,Fry," Thanks, Leela, but I have no choice. I can't let my monstruous deboner get anywhere near you."
Fry Am the Egg Man,Hermes, There it is!
Fry Am the Egg Man,Fry," Well, this is it. You guys wait here. This is gonna kill him more than it does me. Goodbye, boy. I'll think of you whenever I sit on something round."
Fry Am the Egg Man,Amy, What's happening?! Did you kill it?!
Fry Am the Egg Man,Mr. Peppy, The bloody idiot bloody-shot me! I'm all bloody-bloody!
Fry Am the Egg Man,Bender, Wha?!
Fry Am the Egg Man,Fry, Mr. Peppy?! Bullets make you talk?!
Fry Am the Egg Man,Bender, That's not Mr. Peppy!
Fry Am the Egg Man,Amy, Jinkies! He Scooby-Doo-ed us!
Fry Am the Egg Man,Leela," Why, Major McZongo? Why?"
Fry Am the Egg Man,Angus McZongo," Oh, it's been thirty years since last I killed a bone vampire. The villagers dinna idolise me like they used to."
Fry Am the Egg Man,Amy, You seem pretty popular at the pub.
Fry Am the Egg Man,Angus McZongo, I work there as a greeter! Your beast was my chance to be a hero again. But the damn thing was a vegetarian! So I slaughtered the sheep meself.
Fry Am the Egg Man,Leela, But why did you attack me?
Fry Am the Egg Man,Angus McZongo," So I could impress you by seeking revenge on the creature. Us greeters don't get a lot of action. On paper, it seemed like a win-win situation."
Fry Am the Egg Man,Farnsworth," Do you realise what this means, Fry?! Your pet's not dangerous after all!"
Fry Am the Egg Man,Fry," I told ya! Mr. Peppy's a lover, not a fighter. Like Dwayne ""The Rock"" ""The Tooth Fairy"" Johnson."
Fry Am the Egg Man,Zoidberg, UNKNOWN! Hey. What's that bone-sucking sound?
Fry Am the Egg Man,Fry, It's Mr. Peppy! I'd know 'im anywhere.
Fry Am the Egg Man,Leela," Huh. So, apparently, Major McZongo and Mr. Peppy were each doing about half the sheep killing."
Fry Am the Egg Man,Fry," Why, Mr. Peppy? Why? Ooh. That tickles. Now I really do have to kill you."
Fry Am the Egg Man,Man #3," Wait! Don't shoot. The beast is a godsend. Like I said, we've more livestock than we can slaughter. But, thanks to this ravenous bogle, that's nae more a problem."
Fry Am the Egg Man,Man #5," Angus is right. The cursed thing even debones 'em. Which is perfect for today's fast-paced, lazy consumer."
Fry Am the Egg Man,Man #1," Dersu Uzala, Yojimbo, Rashomon! The beast must live!"
Fry Am the Egg Man,Leela," You know what the best part is? From now on, whenever we're eating fresh, organic space meat, we'll know exactly where it comes from."
Fry Am the Egg Man,Fry," One bucket o' double-friend, triple-salted, boneless sheep tots, please."
Fry Am the Egg Man,Teenaged Alien, What kinda cheese fillin' you want in that?
Fry Am the Egg Man,Fry, All kinds.
Fry Am the Egg Man,Leela, Eh... Make it two.
Fry Am the Egg Man,Leela, [over credits] An' a small whisky. Large.
Fry Am the Egg Man,,
All the Presidents' Heads,,
All the Presidents' Heads,Farnsworth," Good news, everyone! Remember when you asked to see my family tree?"
All the Presidents' Heads,"Leela, Bender, Zoidberg, Hermes, Amy, and Fry", No.
All the Presidents' Heads,Farnsworth," Ta-da! [Professor Farnsworth activates the holographic projector. The holographic projector shows a tree filled with spheres. Professor Farnsworth touches one of the spheres.] This is my ancestor Philo Farnsworth, inventor of television and, as a bonus, childhood obesity. [The sphere enlarges and shows a television screen depicting a man who resembles Professor Farnsworth. Professor Farnsworth touches another sphere.] And here's Dean Farnsworth, developer of the Farnsworth test for colour blindness. [The sphere enlarges and shows a set of coloured balls depicting another man who resembles Professor Farnsworth. Professor Farnsworth adjusts his glasses.] Where is he, blast it?! [Professor Farnsworth touches a third sphere.] And, just recently, I learned of a modern-day Farnsworth, who invented the anti-senility truss."
All the Presidents' Heads,Leela," That's you, Professor."
All the Presidents' Heads,Farnsworth," Wha?! [Professor Farnsworth's belly enlarges until his sweater and his pants are separated. Professor Farnsworth is wearing a metallic truss. The metallic truss unleashes several sparks. Professor Farnsworth adjusts his clothes.] Ah, yes. The Farnsworths boast a proud and distinguished lineage. No wormy fruit on this tree."
All the Presidents' Heads,Amy, What about Fry? [Fry is snoring.] Isn't he your distant uncle?
All the Presidents' Heads,Farnsworth," Very distant. Not a true Farnsworth, mind you. [A fourth sphere shows Fry. The sphere's branch is filled with fungus and dung beetles.] He's way over here on this filthy branch riddled with fungus and dung beetles."
All the Presidents' Heads,Fry, What's with the seventeen dung beetles?
All the Presidents' Heads,Hermes," Well, it's six o'clock. [Hermes removes the hat from the hanger and puts it on.] I guess we'll have to deliver that Human heart tomorrow. Good work, people!"
All the Presidents' Heads,Bender," Woohoo! Time to go clubbin'. [With his right hand, Bender opens his chest cabinet and grabs a baseball bat. Bender's chest cabinet closes itself.] Baby seals, here I come."
All the Presidents' Heads,Fry, Guess I better head over to my night job.
All the Presidents' Heads,Leela, You have a night job?
All the Presidents' Heads,Fry," Yup. It's exhausting, but I need the extra money to buy coffee so I can stay awake for my night job."
All the Presidents' Heads,Leela, But—
All the Presidents' Heads,Fry, Gotta go!
All the Presidents' Heads,Fry, [extendedly] Woo!
All the Presidents' Heads,Dr. Cahill," You've got a surprising amount of algae in your beard, Mr. President. Just sit still and let the algae eater do its work."
All the Presidents' Heads,Abraham Lincoln's head, Ooh! Ow! [The algae eater bites Abraham Lincoln's mole.] Ooh! Lay off my trademark mole.
All the Presidents' Heads,Dr. Cahill," Hi, Lars."
All the Presidents' Heads,Fry, Fry.
All the Presidents' Heads,Dr. Cahill," Whatever. [Dr. Cahill opens and closes the purse.] I'm heading out to my night job. [Dr. Cahill walks up to the door.] Remember  No loud noise, no head bowling, and no parties. Or it'll be your ass in a jar!"
All the Presidents' Heads,Fry, I wanna go to that museum!
All the Presidents' Heads,Bill Clinton's head," Man, this place is a snooze. Hey, Fry, I challenge President Taft 'ere to a pie-eatin' contest."
All the Presidents' Heads,William Taft's head," You're on, skinny!"
All the Presidents' Heads,Fry," Sorry, guys. You know the rules. ""No fun allowed."""
All the Presidents' Heads,Andrew Jackson's head," Come on, you pansy! I'm thirsty. I want me some Tennessee loopy juice!"
All the Presidents' Heads,Warren Harding's head, And I want loose women. The kind that aren't afraid to show a little ankle.
All the Presidents' Heads,James Madison's head, [creepily] Or elbow.
All the Presidents' Heads,Fry, No visitors! I'll lose my job.
All the Presidents' Heads,Rutherford B. Hayes' head," Oh, boo-hoo! I'll lose my minimum-wage job."
All the Presidents' Heads,Fry," You're mean, Rutherford B. Hayes!"
All the Presidents' Heads,Franklin D. Roosevelt's head," Listen here, young man! We have nothing to fear but running out of beer."
All the Presidents' Heads,Fry, Alright. One small get-together. But let's keep it quiet and dignified.
All the Presidents' Heads,Zoidberg, [quickly] Yeah! Yeah! Yeah! Yeah! Yeah! Yeah!
All the Presidents' Heads,Bender," Woohoo! Yeah, alright!"
All the Presidents' Heads,"Scruffy, Leela, Hermes, and Bender", Four more beers! Four more beers!
All the Presidents' Heads,Amy, Yes! Right in the ike!
All the Presidents' Heads,James Madison's head, [creepily] Nice elbow action.
All the Presidents' Heads,Hermes, So... You grow hemp?
All the Presidents' Heads,Thomas Jefferson's head, Yes.
All the Presidents' Heads,Hermes, And... You do what with it?
All the Presidents' Heads,Thomas Jefferson's head," All manner of things. Manufacture paper, fabric, rope..."
All the Presidents' Heads,Hermes," Oh. Well, nice talking to you."
All the Presidents' Heads,Thomas Jefferson's head," Why, I used to smoke about four feet of rope a day."
All the Presidents' Heads,Hermes, Let me give you my pager number.
All the Presidents' Heads,Farnsworth," Hey, Reagan. Remember when you asked to see my family tree?"
All the Presidents' Heads,Ronald Reagan's head, I asked you to leave me alone.
All the Presidents' Heads,Farnsworth, The Farnsworths are a remarkable—
All the Presidents' Heads,George Washington's head, [off camera] Farnsworth?! [The camera pans over to George Washington's head. George Washington's head spits in his jar's glass.] That name is a stain on American history! One of the worst traitors of the Revolution was a Farnsworth!
All the Presidents' Heads,Farnsworth, You're lying!
All the Presidents' Heads,Leela, [whispering] He's George Washington! He tends not to do that!
All the Presidents' Heads,George Washington's head, David Farnsworth was a notorious British agent and counterfeiter. [The camera zooms in on George Washington's head.] He conspired to bring down our nation with his fraudulent currency.
All the Presidents' Heads,Farnsworth," A Farnsworth did this?! [Professor Farnsworth holds the piece of paper with his right hand and puts his left hand on his head.] Oh, dear! My good name is ruined!"
All the Presidents' Heads,Gerald Ford's head, Hi! I'm Jerry. I like movies.
All the Presidents' Heads,Bender," Anyone seen Ulysses Grant? [Leela opens her eyes, looking at Bender.] He owes me a cheroot."
All the Presidents' Heads,Leela," He's over there, pukin' in the Bushes."
All the Presidents' Heads,George H. W. Bush's head and George W. Bush's head, [extendedly] No!
All the Presidents' Heads,Fry," Oh, boy."
All the Presidents' Heads,Dr. Cahill, [angry] Mr. Fry! [Dr. Cahill uncrosses her arms and walks up to Fry as she looks around.] Why are all these people standing around? [Dr. Cahill grabs a bottle of beer with her right hand and throws the set of paper sheets away with her left hand.] [happy] When they should be partying!
All the Presidents' Heads,"Amy, Bender, and Hermes", Alright!
All the Presidents' Heads,Zoidberg," Hey, hey, LBJ. You wanna get drunk?"
All the Presidents' Heads,Lyndon Johnson's head," Oh, hell, yeah. [Zoidberg begins drinking the water in Lyndon Johnson's jar.] Whoa!"
All the Presidents' Heads,Farnsworth," Zoidberg, no! [Professor Farnsworth and Amy run towards Zoidberg.] The effects of jar juice aren't fully understood!"
All the Presidents' Heads,Zoidberg, Uh... Not bad. A hint of vitalis and—
All the Presidents' Heads,Amy," I recognise this! [The camera zooms out, revealing Professor Farnsworth to be barefoot.] It's the 1960s! [Zoidberg touches Professor Farnsworth's beard. Professor Farnsworth looks angry and moves away from Zoidberg.] I did a report on it for my drug-taking class."
All the Presidents' Heads,Blond man, Hi. I'm Andy Warhol and you're some kind of... Marvellous lobster man.
All the Presidents' Heads,Zoidberg," Right on! Say, you got any real soup or just this schlock?"
All the Presidents' Heads,Andy Warhol, What a horrid bore.
All the Presidents' Heads,Farnsworth, Ooh.
All the Presidents' Heads,Amy, Wha?
All the Presidents' Heads,Zoidberg, Far out! That head gave me a total head trip!
All the Presidents' Heads,Fry, Really?! [The camera pans over to a shelf.] I'm gonna lick Herbert Hoover's head!
All the Presidents' Heads,"Zoidberg, Leela, Amy, Hermes, and several heads", Lick the head! [Bender has picked up Herbert Hoover's head and is holding it in front of Fry.] Lick the head!
All the Presidents' Heads,Bender," Whoa! A speakeasy. [Bender raises his right hand, then raises his left hand, and puts both his hands on the counter.] One prohibited beverage, please."
All the Presidents' Heads,Bartender," Hey, Dutch. The new still is here."
All the Presidents' Heads,Bender, I'm not a still! [The bartender turns to Bender. Bender points at himself with his right hand and puts his right hand back on the table.] I just smell like one!
All the Presidents' Heads,Male voice," Dutch Schultz, come out with your bootleg whisky. We're thirsty!"
All the Presidents' Heads,Hermes," What the heck is goin' on?! Jefferson, did you sell me some bad rope?!"
All the Presidents' Heads,Farnsworth," It must have something to do with the jar fluid. [Professor Farnsworth puts his left hand in Thomas Jefferson's jar, takes it out, and smells it.] Aha! [Professor Farnsworth turns to Dr. Cahill.] Dr. Cahill, do I detect a trace of opal essence?"
All the Presidents' Heads,Dr. Cahill," Very observant, Professor. To preserve the heads, we use a rare form of powdered crystalline opal. [Dr. Cahill opens a safe and grabs a test tube filled with powdered crystalline opal with her right hand.] This is the world's entire supply. [Dr. Cahill holds the test tube with her left hand.] Yet it's so powerful, it should last a thousand years. It keeps the heads alive, but... We don't know how."
All the Presidents' Heads,Amy, Why did it give us those hallucinations?
All the Presidents' Heads,Farnsworth, Because it didn't!
All the Presidents' Heads,Amy, Uh... Yuh-huh!
All the Presidents' Heads,Farnsworth," Opal has unusual temporal properties. [Professor Farnsworth turns to the others and illustrates the situation with both his hands.] It preserves each head in a time-stasis bubble. Ergo, licking those heads actually sent us back in time to their original eras. [Professor Farnsworth points at a painting on the wall resembling Shot Marilyns that bears Zoidberg's face instead of Marilyn Monroe's. To its left, there is a sign reading UNWELCOME GUEST - 1968.] Look!"
All the Presidents' Heads,Zoidberg, Fuh! Schlock and more schlock!
All the Presidents' Heads,Dutch Schultz, Pssst! Is the coast clear?
All the Presidents' Heads,Bender," Button your yap, you mug!"
All the Presidents' Heads,Farnsworth, I've discovered a new means of time travel! I'll call it the Farnsworth effect!
All the Presidents' Heads,George Washington's head, Nice try. [Professor Farnsworth looks at George Washington's head.] But even this discovery won't undo the treachery wrought by your nefarious ancestor David Farnsworth.
All the Presidents' Heads,Farnsworth, It will if we go back in time and stop him!
All the Presidents' Heads,Leela," Professor, no! [Leela and Fry run towards Professor Farnsworth and hold him. Bender runs towards George Washington's head and removes his jar from Professor Farnsworth's hands.] You can't tongue the father of our country!"
All the Presidents' Heads,Fry," Where are we? Also, when are we?"
All the Presidents' Heads,Farnsworth," 68th and Broadway, colonial era. [A cowbell-ringing sound is heard and a cow is seen. The cow moos.] Rush hour."
All the Presidents' Heads,Farnsworth," By my calculations, this head trip will last, at most, 24 hours. We need to stop that monster, David Farnsworth!"
All the Presidents' Heads,Leela," Look at the date on this newspaper. [She picks it up and reads it.] April 17th, 1775."
All the Presidents' Heads,Farnsworth," Say, on this exact date, the Continental Congress was meeting secretly in New York. Maybe they can help us."
All the Presidents' Heads,Bender, But they could be meetin' anywhere!  What are we gonna do? Search building to building?
All the Presidents' Heads,Farnsworth, [pointing to the building on the left] We'll start with that one.
All the Presidents' Heads,Thomas Jefferson," Alexander Hamilton of New York, how say you?"
All the Presidents' Heads,Alexander Hamilton, Nay.
All the Presidents' Heads,Thomas Jefferson, John Hancock and John Adams of Massachusetts?
All the Presidents' Heads,John Adams, Yay.
All the Presidents' Heads,John Hancock, Yay.
All the Presidents' Heads,Thomas Jefferson, [dips his quill in ink and starts writing something] The yay's have it. Our nation's official joke state shall be New Jersey. [A knock on the door is heard] Uh-oh. [Jefferson crumples up the paper and puts it in his mouth and swallows it.]
All the Presidents' Heads,John Adams," Ah, 'tis just our new Crockpot."
All the Presidents' Heads,Bender," Watch it, Wiggy! I ain't no stinking crock!"
All the Presidents' Heads,John Adams, We'll see about that in five hours. [He puts a raw chicken in Bender's chest cabinet.]
All the Presidents' Heads,John Hancock," Halt! From whence commeth thou, one-eyed maiden!"
All the Presidents' Heads,Leela," Uh, ever been to Peru?"
All the Presidents' Heads,John Hancock, Certainly not!
All the Presidents' Heads,Leela, [pushing down Hancock's musket so she can get through] I'm from Peru.
All the Presidents' Heads,Farnsworth," Clam up, founding fathers! We need help locating the treacherous forger [takes out the counterfeit currency] who forged this forgery!"
All the Presidents' Heads,Thomas Jefferson," [takes the counterfeit] My word! If these enter circulation, our economy will be destroyed! And with it, our chance at independence!"
All the Presidents' Heads,Alexander Hamilton," [taking the counterfeit from Jefferson] Only one man in the colonies has a printing press fine enough to make these. Our good friend, Ben Franklin."
All the Presidents' Heads,Leela, Uh-oh. Isn't Franklin in Philadelphia?
All the Presidents' Heads,Thomas Jefferson," When he's not in Charlotte, or Maribel, or Louisa!"
All the Presidents' Heads,Fry, I don't get it.
All the Presidents' Heads,Farnsworth," I'm sure no one's ever said this before, but I must get to Philadelphia as quickly as possible!"
All the Presidents' Heads,Farnsworth, Oh! Why couldn't my disgraced ancestor have lived in the NASCAR era?!
All the Presidents' Heads,Woman," Dr. Franklin, your new steam engine is here."
All the Presidents' Heads,Bender, I ain't no stinkin' steam engine! [a bell dings] Chicken's ready.
All the Presidents' Heads,Benjamin Franklin," You may go, Louisa."
All the Presidents' Heads,Fry, [leaning into the frame] Now I get it!
All the Presidents' Heads,Benjamin Franklin, Fascinating. Be you man or machine?
All the Presidents' Heads,Bender, Mostly machine. Might be a couple dead cats in there.
All the Presidents' Heads,Farnsworth," Dr. Franklin, with all due respect to the brilliant inventor of the... [motions toward the device behind him] stove, I must speak with you. [walks toward Franklin, who has a chicken leg in his mouth] I'm looking for the scoundrel who made [takes out the counterfeit again] this!"
All the Presidents' Heads,Benjamin Franklin," [takes the counterfeit and inspects it] Intricate filigree, satanic symbols, looks like one of mine. [looks closer at it and gasps] But no! This is a fake!"
All the Presidents' Heads,Fry," Duh! It says [points to the words on the currency] ""Colony of Maffachufetts""!"
All the Presidents' Heads,Bender," [scoffs] More like ""Taxachufetts""!"
All the Presidents' Heads,Benjamin Franklin," [sighs] That's just how we print S's, you ""ƒtupid ƒhitheads""! Someone must've used my press while I was poking around in Charlotte. Let's ask my apprentice, David Farnsworth."
All the Presidents' Heads,Farnsworth, [gasps] Farnsworth?!! That's him! Arm yourselves!
All the Presidents' Heads,Benjamin Franklin," I call it ""the Franklinator""."
All the Presidents' Heads,Benjamin Franklin, The apprentice's suite is empty! He's gone!
All the Presidents' Heads,Farnsworth, Wait! What's that glistening in the chamber pot?
All the Presidents' Heads,Bender, [walking toward the chair] Let's find out.
All the Presidents' Heads,Leela," Bender, do you know what a chamber pot is?"
All the Presidents' Heads,Bender, I don't know and I don't care!
All the Presidents' Heads,Farnsworth, A Massachusetts hapenny?
All the Presidents' Heads,Bender," Probably fake, too. There's one way to find out. [Bender takes the hapenny, opens his teeth to bend the coin and the others, beside Farnsworth, look in disgust.] What?"
All the Presidents' Heads,Fry, Bender bent a poo penny! Bender bent a poo penny!
All the Presidents' Heads,Benjamin Franklin, Look! 'Tis but worthless tin!
All the Presidents' Heads,Farnsworth, Where could Farnsworth have minted such a high quality fake?
All the Presidents' Heads,Benjamin Franklin," Not here. But, you know, I have a friend in Boston who's an expert silversmith. They could be connected. [brief pause] There's only like forty people who do anything around here."
All the Presidents' Heads,Farnsworth," But Boston's 300 miles away and Bender kicked our horse to death! We'll never get there in time! Unless you have another ""invention"" up your sleeve! Foh!"
All the Presidents' Heads,Benjamin Franklin, [thinks] Hmmm...
All the Presidents' Heads,Bender, How's this going to get us to Boston?
All the Presidents' Heads,Bender, Stupid Franklin— [lightning shocks him again as he runs faster]
All the Presidents' Heads,Paul Revere," Ah, that scrap metal I ordered is here."
All the Presidents' Heads,Bender, I'm 40% scrap metal. [bangs his chest and walks inside]
All the Presidents' Heads,Paul Revere," Well, Ben Franklin, [shakes Franklin's hand] my fellow Son of Liber— [notices a couple of redcoats outside] Tea kettles, heh. Yes, I've made some new tea kettles. Perfect for special occasions. Like hanging King George in effigy— [Franklin motions Revere to calm down because of the redcoats again] and H and I are monograms you can put on those tea kettles. [one of the redcoats notices Revere speaking strangly] Whatta you looking at, you British bastards?!?!?!"
All the Presidents' Heads,Benjamin Franklin," [pushing Revere inside as the others follow him] Paul, we talked about this."
All the Presidents' Heads,Farnsworth," Mr. Revere, we're looking for a counterfeiter who minted [gives Revere the fake coins] these smelly hapennies. His name is David Farnsworth."
All the Presidents' Heads,Paul Revere, [inspecting the fakes] Farnsworth? I just hired him for the fall candlestick rush. He's in the foundry this very moment!
All the Presidents' Heads,Benjamin Franklin, [holding a sack of Franklinators] Everybody take a Franklinator.
All the Presidents' Heads,Fry," Aw, I gotta chipmunk."
All the Presidents' Heads,Leela, [kicking the door down] Hee-ya!
All the Presidents' Heads,Professor Farnsoworth," David Farnsworth, I presume?"
All the Presidents' Heads,David Farnsworth, [in an indistinguishable British accent] I'm David Farnsworth.
All the Presidents' Heads,Farnsworth, Fuff! You're a disgrace to the very name Fowvwuh!
All the Presidents' Heads,Fry, Look out! He's got a bezeling planisher!
All the Presidents' Heads,David Farnsworth, 'At's right! 'Oo wonts ta be bezel'd?!
All the Presidents' Heads,Bender," You idiot, I'm not a cannon!"
All the Presidents' Heads,Bender," Oh, I guess I am a cannon."
All the Presidents' Heads,Farnsworth, Time to prune the family tree! [He knocks out his ancestor unconscious with a candlestick. Everybody cheers.] Huzzah! I've saved the Farnsworth name!
All the Presidents' Heads,Man, An urgent message for Mr. Revere!
All the Presidents' Heads,Paul Revere," Mr. Revere, pray, do not 'ƒhit' your pants. The British attack has begun. Cross the river and watch for my signal. [Revere finishes reading the letter.] I must ride."
All the Presidents' Heads,Leela, He has so much stuff. [Leela puts a set of tableware into a seemingly bottomless purse.] He won't miss this.
All the Presidents' Heads,Farnsworth, Let's burn these counterfeits and paddle the next swan boat the hell out of Boston.
All the Presidents' Heads,Fry, Here you go.
All the Presidents' Heads,Farnsworth," Thanks. [The Professor throws the lantern onto the pile, causing it to shatter. The counterfeits start burning.] Say, where did you get that lantern?"
All the Presidents' Heads,Fry," From that old church to the north. [Fry points to a church.] They had two burning, so I figured they wouldn't miss one."
All the Presidents' Heads,Paul Revere, One if by land. Two if by sea. [Revere stops by a river and sees one lantern hanging on the wall of the church.] [shouting] The British are coming! The British are coming! [Revere goes back to riding the horse.] [shouting] By land! By land! [whispering] Gotta treat this OCD. Gotta treat this OCD.
All the Presidents' Heads,Farnsworth," Fry, you dope! You've really screwed the granny this time! History needed that second lantern!"
All the Presidents' Heads,Leela, We better stop Paul Revere before—
All the Presidents' Heads,Leela," [in a British accent] I guess everything worked out jolly oll right, eh, guv'nor?"
All the Presidents' Heads,Bender," [laughing, in a Cockney accent] Wot's with th' fruity accent, ducky? Bollocks! Ah've got it, too!"
All the Presidents' Heads,Fry," [in a British accent] Where's all th' Presidents' heads, then?"
All the Presidents' Heads,Farnsworth," [in a British accent] Ah say, appears we've changed 'istory too much, disahster of nightmarish proportions an' wotnot. [smokes a pipe calmly as a dramatic musical sting is heard] Quite."
All the Presidents' Heads,Hermes," Where 'ave you blokes been? [cut to a shot of Hermes now wearing a shirt that says ""Manchester United""] You nearly missed elevenses."
All the Presidents' Heads,Amy, [wearing a hat and elegant clothing and carrying a tray of tea and other delicacies] Who's for tea and shmavories?
All the Presidents' Heads,Bender, Wot in bloody 'ell's goin' on aroun' 'ere ah says?
All the Presidents' Heads,Farnsworth, Indeed. Wot's become of the dear old USA?
All the Presidents' Heads,Amy, Beg pardon?
All the Presidents' Heads,Farnsworth, The Revolution? 1776 and wot all?
All the Presidents' Heads,Hermes," Oh, the Colonial Desktop(?).  Well, there's nuthin' we Brits enjoy more dan a good document'ry. Turn on the televiser, Dr. Zoidsmythe."
All the Presidents' Heads,Zoidsmythe," I'll dial up the Beeb. They've always got a nice doccy-woccy on. [He turns on the TV, which shows the continent of North America, which is filled in by the Union Jack.]"
All the Presidents' Heads,Narrator," The Vanquished Pride of the Yankees, [Zoidsmythe silly walks away] or [reading the title] America the Dutiful! [During the speech, several images are shown, including the Liberty Bell, which is now the Tyranny Bell, the Lincoln Memorial statue, now the Hitchcock Memorial and surrounded by birds, and a Dunkin' Donuts, now Dunkin' Crumpets.] North America or Wes' Britannia as we now call it, has been under British rule for fourteen-hundred years... [An arm pulls down a screen showing a scene not unlike Terry Gilliam's animations from Monty Python.] all thanks to a nutter known as ""Wrong Way Revere""."
All the Presidents' Heads,Animated Revere," The British are coming, by land, by land! Heh heh heh heh!"
All the Presidents' Heads,Narrator," But we came by sea, we did. Surprised the Yanks at Lexington ending the Rebellion with narry a kipper scuffed."
All the Presidents' Heads,Amy," Scuffed kippers, anyone?"
All the Presidents' Heads,Zoidsmythe," Right kind of you, mum. [gobbles all the fish in Zoidbergian fashion]"
All the Presidents' Heads,Narrator," The humiliated conspirators were forced to sign the Declaration of Dependence, proclaiming British rule forever. [Cut to George Washington's bedroom, Washington is seen sleeping in his bed when his door opens.] Meanwhile, a loyal Brit by the name of David Farnsworth tracked down the traitor George Washington and bravely smothered him with his wig. [David Farnsworth covers Washington with his wig, Washington's screams are muffled.]"
All the Presidents' Heads,Farnsworth," Oh, criminy!"
All the Presidents' Heads,Narrator," In gratitude, King George named Farnsworth a duke and granted his family massive land holdings in the colonies."
All the Presidents' Heads,Farnsworth, Blimey. I've never felt so ashamed to be a Farnsworth.
All the Presidents' Heads,Scruffy, Will m'lord be returning to his massive land holdings for luncheon?
All the Presidents' Heads,Farnsworth, Huh-woh?
All the Presidents' Heads,Leela, [yawns] I know we're ladies-in-waiting but what are we waiting for?
All the Presidents' Heads,Farnsworth, How should I know? Just shut up and wait!
All the Presidents' Heads,Bender," [he is looking out a window, his back turned to the camera] Say, how is it that we've got socialized medicine [turns around to reveal his dental problems] bot me teeth still loo' like this?"
All the Presidents' Heads,Fry, Con't we just go back in time an' set things roight again?
All the Presidents' Heads,Farnsworth, Don't want to. Rather nice living under the crown and so forth.
All the Presidents' Heads,Zoidsmythe, [being used as a footstool by Farnsworth] Rather. [Farnsworth whips Zoidsmythe with his cane]
All the Presidents' Heads,Farnsworth," Wot's more, couldn't go back even if we wonted to.  No more crystalline opal left in all the world, don't you know."
All the Presidents' Heads,Scruffy," M'lord, the Queen is here for 'er, eh, weekly, irrrrr, visit."
All the Presidents' Heads,Farnsworth, The Queen? Sounds most satisfactory. All of you out!
All the Presidents' Heads,Bender," [sighs, and exits with the others] Right, then. Let's go play some quoits...wotever that is."
All the Presidents' Heads,Squire," Presenting the Queen of England, America, and two parking spaces in Tokyo."
All the Presidents' Heads,Queen, Where's me consort at?
All the Presidents' Heads,Farnsworth, [gulps] C-C-Consort?
All the Presidents' Heads,Queen," That's right, luv. Fer cent'ries, a Farnsworth gentleman 'as provided service to the Queen. Now close yer eyes an' think of England!"
All the Presidents' Heads,Farnsworth," Ah say, what's that in your crown?"
